Year,Total GHG Emissions,None,None
1950,312.8209713,313.1494528,312.4924899
1951,313.0139706,313.3625461,312.6653952
1952,313.34197,313.6980885,312.9858515
1953,313.7299694,314.0943926,313.3655462
1954,314.0949688,314.4694317,313.7205059
1955,314.414968,314.8183742,314.0115618
1956,314.6979672,315.1256734,314.2702609
1957,314.9919665,315.4337273,314.5502057
1958,315.3449659,315.8001212,314.8898105
1959,315.8069651,316.2831317,315.3307985
1960,316.6249644,317.1213429,316.1285858
1961,317.2989638,317.8022529,316.7956747
1962,318.0439631,318.5670019,317.5209243
1963,318.6499622,319.201766,318.0981585
1964,319.3329614,319.9161638,318.749759
1965,319.8159605,320.4274214,319.2044996
1966,320.8799597,321.5211479,320.2387715
1967,321.4799589,322.1451258,320.814792
1968,322.388958,323.0881319,321.6897841
1969,323.250957,323.9935837,322.5083303
1970,324.7829559,325.57605,323.9898618
1971,325.399955,326.2274106,324.5724994
1972,327.3489541,328.2115309,326.4863772
1973,329.9089531,330.8118172,329.006089
1974,330.7559525,331.6651701,329.8467349
1975,330.826952,331.7387244,329.9151796
1976,331.544951,332.5005054,330.5893966
1977,333.3529501,334.3410934,332.3648068
1978,335.0099494,336.0182475,334.0016512
1979,336.6049484,337.6558636,335.5540331
1980,338.7049479,339.7500358,337.65986
1981,340.0589478,341.0766325,339.041263
1982,340.6439474,341.6506388,339.637256
1983,342.2659473,343.2427195,341.289175
1984,344.0079495,344.8337342,343.1821649
1985,345.4589538,346.3065778,344.6113297
1986,346.9029481,347.8428818,345.9630144
1987,348.7749474,349.5826645,347.9672302
1988,351.2759329,352.2609695,350.2908964
1989,352.8939214,354.0004347,351.7874081
1990,354.0729301,355.1416936,353.0041665
1991,355.3529349,356.485707,354.2201627
1992,356.2289489,357.2167312,355.2411666
1993,356.9249589,357.8879375,355.9619802
1994,358.2539622,359.4373301,357.0705943
1995,360.2389564,361.4953208,358.9825921
1996,362.0049615,363.4075214,360.6024016
1997,363.2519618,364.581625,361.9222986
1998,365.932958,367.2764274,364.5894886
1999,367.8449748,369.3271858,366.3627638
2000,369.12498,370.7047027,367.5452574
2001,370.6729901,372.2627683,369.0832119
2002,372.8349943,374.4088858,371.2611027
2003,375.410995,377.1628067,373.6591834
2004,376.9870025,378.6398307,375.3341743
2005,378.907005,380.6069988,377.2070111
2006,381.010007,382.8308497,379.1891642
2007,382.6030247,384.3138054,380.892244
2008,384.7390186,386.5041836,382.9738536
2009,386.280019,388.021677,384.5383611
2010,388.7170293,390.784658,386.6494006
2011,390.9440147,393.0411537,388.8468757
2012,393.0159927,395.0362063,390.9957791
2013,395.7249793,397.714917,393.7350417
2014,397.5469769,399.5909173,395.5030366
